Date,mean_gate,p90_gate,p99_gate,mean_eta_gate,mean_cost_mod_ratio,phase_eta,phase_low,phase_high,phase_W,w_res,w_dir,w_amp,phase_alpha,phase_gamma
2025-08-20,0.10921259352776945,0.23447185646692836,0.3978227407387202,0.0982913341749925,0.10921259352665659,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-21,0.09897818556904102,0.2101692197189058,0.3533771573625305,0.08908036701213692,0.09897818556792667,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-22,0.09668702735645883,0.21251966409713077,0.3274528413953667,0.08701832462081295,0.09668702735534421,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-25,0.1037895613670001,0.2881370508232947,0.3823141707071607,0.09341060523030009,0.10378956136588076,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-26,0.09870530020565614,0.2081025175891405,0.3990064520137637,0.08883477018509053,0.09870530020453348,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-27,0.09553921364556,0.21688056282168738,0.34821355095974854,0.085985292281004,0.09553921364443506,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-28,0.09526122332102352,0.20057855234267027,0.3891262074137277,0.08573510098892118,0.0952612233199164,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-29,0.09598654217222728,0.24773277713513508,0.3910288110060757,0.08638788795500456,0.09598654217112662,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-01,0.09432415650972473,0.19558531592163053,0.3754751917731478,0.08489174085875226,0.09432415650861746,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-02,0.10550463311660567,0.2797563694159798,0.3558957237776593,0.0949541698049451,0.10550463311551199,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-03,0.10757143072316057,0.2319731005070443,0.42256150910266843,0.09681428765084452,0.10757143072204414,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-04,0.1059008877637165,0.23132557535950712,0.4177424551054359,0.09531079898734486,0.10590088776261299,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-05,0.0988582892910315,0.24677865588400746,0.33855708211633834,0.08897246036192835,0.09885828928990524,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-08,0.10515179365111177,0.22505800076621396,0.34216615359709696,0.09463661428600059,0.10515179364997647,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-09,0.09541631735478905,0.22172733256007973,0.33648779664836237,0.08587468561931014,0.09541631735365112,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-10,0.10527371995245284,0.22600502924409552,0.3186359949654284,0.09474634795720756,0.10527371995131182,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-11,0.09907166671255326,0.25023674924030076,0.3812122533923222,0.08916450004129793,0.0990716667114265,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-12,0.1022314210321937,0.2680598266343338,0.426158693222797,0.09200827892897433,0.10223142103107424,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-15,0.10370876576234381,0.26548749949384204,0.36786723188501347,0.09333788918610943,0.10370876576120555,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-16,0.10192458932080294,0.23704138903045774,0.396511911271868,0.09173213038872265,0.10192458931968282,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-17,0.10415389071436852,0.2608139539588662,0.34881354514649676,0.09373850164293167,0.1041538907132822,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-18,0.11157026035351622,0.2929582770789776,0.44029521739774136,0.1004132343181646,0.11157026035243409,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-19,0.10176634475542415,0.2665740832667787,0.3410151904930876,0.09158971027988173,0.101766344754349,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-22,0.09688243053013113,0.21579141244596012,0.33708250396339595,0.08719418747711802,0.09688243052905438,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-23,0.09740097922754233,0.24053543968504362,0.31753623716128826,0.0876608813047881,0.0974009792264474,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-24,0.09927189845186371,0.22946870229854463,0.3365223931312526,0.08934470860667734,0.09927189845076255,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-25,0.09792793653421653,0.24780159122677567,0.3350867715374204,0.08813514288079488,0.09792793653312298,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-26,0.1010214994251421,0.22625141966399237,0.4218221508774653,0.09091934948262789,0.10102149942406217,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-29,0.09917413579188794,0.2161973236115699,0.38479077738600637,0.08925672221269915,0.0991741357908074,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-30,0.09771324138625281,0.23843772182950312,0.2961635124423913,0.08794191724762754,0.09771324138515677,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-10-01,0.10452043661447,0.2458022239091291,0.39702396590737316,0.094068392953023,0.1045204366133987,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-10-02,0.09432081783045161,0.21959330208141833,0.37859089021010395,0.08488873604740645,0.09432081782933661,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-10-03,0.0982845800140498,0.24759960259174665,0.31973822267590346,0.08845612201264483,0.09828458001293039,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-10-06,0.11128443677346135,0.24864570048538154,0.38903345850558524,0.10015599309611521,0.11128443677234677,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-10-07,0.10245054600260779,0.23358928977905763,0.36929063661926775,0.09220549140234702,0.10245054600150115,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-10-08,0.08915459252391919,0.21898352923193107,0.2825709521728755,0.08023913327152728,0.08915459252282601,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-10-09,0.09312441421145902,0.2019794993327335,0.3176222815883276,0.08381197279031312,0.09312441421037503,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-10-10,0.08603550788251133,0.1839463916520841,0.3453957342285807,0.07743195709426019,0.08603550788141338,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-10-13,0.08749086440657868,0.18279271180502318,0.3259565213901853,0.07874177796592081,0.08749086440549622,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-10-14,0.09366181538931707,0.22504996356989018,0.3675736767874722,0.08429563385038537,0.09366181538823665,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-10-15,0.11447709283968281,0.22622272406695387,0.3904704492427712,0.10302938355571453,0.11447709283860316,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
