Date,mean_gate,p90_gate,p99_gate,mean_eta_gate,mean_cost_mod_ratio,phase_eta,phase_low,phase_high,phase_W,w_res,w_dir,w_amp,phase_alpha,phase_gamma
2025-05-13,0.09995451218171647,0.22102618532790125,0.37273402893930585,0.08995906096354482,0.09469374838165609,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-14,0.09408558734927443,0.2160958058069325,0.33015761899680923,0.08467702861434699,0.08913371432986715,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-15,0.09523129291043136,0.2201669044314019,0.3601189819107055,0.08570816361938823,0.09021911959833215,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-16,0.09236516050271229,0.21297680980883804,0.33204833509568404,0.08312864445244106,0.08750383626470197,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-20,0.0925614514792131,0.21364680541826112,0.36020310570156483,0.0833053063312918,0.08768979613717433,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-21,0.09698153361437008,0.22472233348889306,0.40996355972647525,0.08728338025293307,0.09187724237048091,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-22,0.09943234916736486,0.23032485735684652,0.3564131365932876,0.08948911425062837,0.09419906763121412,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-23,0.09946180281135832,0.2346484508086717,0.35819359924468464,0.08951562253022248,0.09422697108341849,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-26,0.09802084053450005,0.22241270454653916,0.3488409935681038,0.08821875648105006,0.09286184892639443,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-27,0.09872474670074562,0.21846841445107887,0.3261822695571223,0.08885227203067106,0.09352870739967797,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-28,0.09799669783842688,0.22211848616617205,0.3247559242498783,0.0881970280545842,0.09283897689853285,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-29,0.10045674703421323,0.22490969827527652,0.3525885173385,0.0904110723307919,0.09516954982085338,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-30,0.09716614720157025,0.22341887938174007,0.35779353533704955,0.08744953248141323,0.09205213945308827,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-02,0.09535693616650594,0.21498869764433776,0.30380856207564283,0.08582124254985535,0.09033815005145276,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-03,0.09914668615476796,0.21733695168895342,0.35309459705855684,0.08923201753929116,0.09392843951401648,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-04,0.09668201283980477,0.2187515726828188,0.3468399919919051,0.08701381155582429,0.0915934858472078,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-05,0.0941201667514677,0.20386164954852629,0.31931602437526085,0.08470815007632093,0.08916647376352331,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-10,0.09354061225087446,0.20061048839336443,0.3107710348207492,0.08418655102578701,0.08861742213138005,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-11,0.09309544430601616,0.20631726603302175,0.3161201817117289,0.08378589987541454,0.08819568407835467,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-12,0.09637912936822984,0.21325115101542952,0.364483561307061,0.08674121643140686,0.09130654361097784,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-13,0.09557690674482737,0.20626629622942752,0.3325405432532547,0.08601921607034463,0.09054654323091116,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-16,0.09245175347432219,0.19597713526531615,0.3180008188439375,0.08320657812688997,0.0875858717114844,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-17,0.09579924269692221,0.21316097721049224,0.37625397146632233,0.08621931842722999,0.09075717729079227,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-18,0.0914657500316701,0.20291399559453455,0.3189125152604186,0.08231917502850308,0.08665176318686928,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-19,0.09549730135903452,0.20131741262609287,0.33843000999931916,0.08594757122313107,0.09047112760226815,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-20,0.09369618648508204,0.19874634288396076,0.31206568483397124,0.08432656783657384,0.08876480824799776,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-23,0.0931568008338278,0.20464601406587077,0.33025080787541294,0.08384112075044502,0.08825381131523728,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-24,0.09258901628748724,0.21452996882549977,0.3339167331062997,0.08333011465873852,0.08771591016606935,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-25,0.09011725053366788,0.1933215096138924,0.3019080448381055,0.0811055254803011,0.08537423734665837,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-26,0.09282015707968139,0.20237679675008846,0.32998027683950726,0.08353814137171325,0.08793488565341077,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-27,0.09407331856103816,0.21977121248528053,0.3254414838693519,0.08466598670493435,0.08912209126732734,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-30,0.09321542285913285,0.19693209041132262,0.39146193288572145,0.08389388057321957,0.08830934797077847,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-01,0.09115853041608486,0.19899309305224835,0.36955810008376383,0.08204267737447637,0.08636071302473472,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-02,0.0916665611284188,0.19876041359457955,0.3645944735761167,0.08249990501557691,0.08684200527851954,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-03,0.09143813424651548,0.20438639763248645,0.35080429076694275,0.08229432082186393,0.08662560086408391,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-04,0.08884967266297931,0.20129918497240518,0.3370965701640959,0.07996470539668138,0.08417337410073332,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-07,0.08941760592585603,0.19799094615143065,0.35115381649278093,0.08047584533327043,0.08471141613924896,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-08,0.08946014636968609,0.19325147672278584,0.36536784405585837,0.08051413173271749,0.08475171761235373,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-09,0.09046843040715323,0.20222395107597743,0.31446295052214635,0.08142158736643791,0.08570693406890198,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-10,0.08633759948494041,0.1974558196052158,0.3235103610404692,0.07770383953644637,0.08179351530049157,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-11,0.08740476207406637,0.1963652588339753,0.3161445706603402,0.07866428586665974,0.08280451143755693,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-14,0.08810630673101352,0.19328024370759306,0.30275051766711797,0.07929567605791217,0.08346913269150925,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-16,0.09209505646130016,0.1875552476729347,0.35268477423160555,0.08288555081517014,0.08724794822546547,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-17,0.0890255589252215,0.18733927316743507,0.3632812832020899,0.08012300303269936,0.08434000319128276,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-18,0.09010258176083429,0.20037930919453656,0.3593231368894166,0.08109232358475085,0.08536034061449486,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-21,0.09169875656413655,0.21543360817505194,0.3788834448459402,0.0825288809077229,0.08687250621762684,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-22,0.09161885914505467,0.21406329462371468,0.37030115145079673,0.08245697323054921,0.08679681392586126,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-23,0.08850590205399517,0.20254054917073608,0.3390604186664004,0.07965531184859566,0.08384769668169822,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-24,0.0893925301469812,0.19442168845384217,0.3684312482638222,0.08045327713228309,0.0846876601382115,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-25,0.0912432295269833,0.21386914343412047,0.3889414550748124,0.08211890657428497,0.08644095428768918,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-28,0.09458836427044691,0.21948304558550294,0.37314735434582563,0.08512952784340222,0.08961002930781484,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-29,0.08636301142418916,0.19749893644857838,0.318676556802602,0.07772671028177025,0.08181758976925284,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-30,0.08955461975908303,0.20449722466112158,0.3503070110978298,0.08059915778317474,0.08484121871809752,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-31,0.08769754404760982,0.19408115929580244,0.31855157720620936,0.07892778964284884,0.0830818838335466,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-01,0.0875592028825756,0.19232456345501556,0.3546361387817853,0.07880328259431804,0.08295082378246404,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-04,0.08518703425661983,0.18605253287448423,0.33469844276449584,0.07666833083095785,0.08070350613681834,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-05,0.08140274586410595,0.17068416331251082,0.3087984272994378,0.07326247127769536,0.07711839081759064,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-06,0.08653875420775281,0.17931411531535962,0.33560670927423913,0.07788487878697753,0.0819840829326268,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-07,0.08156456175573919,0.1807122359934122,0.3413728341402643,0.07340810558016526,0.07727169008335398,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-08,0.08341637006136976,0.18232426747273608,0.3420292820220798,0.07507473305523278,0.0790260347939463,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-11,0.08220364197639345,0.17910947531550697,0.3384521685571111,0.0739832777787541,0.07787713450291855,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-12,0.08630558848070496,0.20013322343740877,0.3576483784267338,0.07767502963263447,0.08176318908594772,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-13,0.08168760048785437,0.1899674116065272,0.305526026192556,0.07351884043906894,0.0773882530927222,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-14,0.08563612705300493,0.19345368144938835,0.3054903244295007,0.07707251434770443,0.08112896247023482,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-15,0.08533581045966857,0.18512461997842666,0.3147448738941078,0.07680222941370171,0.08084445201338519,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-18,0.08908071083340278,0.2109294994477918,0.34073751984031286,0.0801726397500625,0.08439225236744852,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-19,0.08676755236303459,0.18892425503366886,0.32713001093194444,0.07809079712673113,0.0822008390797339,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-20,0.08733177932764899,0.19151247296875573,0.3147772296853449,0.07859860139488409,0.08273536988831931,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-21,0.090366529602436,0.21181346413016644,0.312799196470327,0.0813298766421924,0.08561039646443322,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-22,0.08910735271382172,0.20600980073348257,0.3565315306272472,0.08019661744243956,0.08441749204363838,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-25,0.08956183426225259,0.20898862467654705,0.35896967072478403,0.08060565083602733,0.08484805351057162,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-26,0.08858100490648738,0.18639687595855073,0.36528752623130817,0.07972290441583864,0.0839188467524783,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-27,0.08952503894924092,0.1942969019697094,0.34699347935675384,0.08057253505431683,0.08481319479298229,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-28,0.08584911418888014,0.19163188012473276,0.2906074159366772,0.07726420276999213,0.0813307397568494,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-29,0.08715713243917979,0.18599093302443023,0.3304160462962692,0.0784414191952618,0.0825699149413456,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-01,0.09376308232317371,0.19774879093786202,0.3709283686421049,0.08438677409085633,0.08882818325250369,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-02,0.08683025545194953,0.18970035917763484,0.3077073173923742,0.07814722990675457,0.08226024200607789,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-03,0.09042217518555494,0.189919670450809,0.34117388109117286,0.08137995766699944,0.08566311333264426,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-04,0.0895250473189848,0.1834643461451519,0.3279361181525338,0.08057254258708632,0.08481320272220651,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-05,0.08869019886086393,0.18938136809266143,0.3191989813671961,0.07982117897477754,0.08402229365661873,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-08,0.09140959755673003,0.19970682859340896,0.378389257588511,0.08226863780105703,0.08659856610533659,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-09,0.09131857473691757,0.19904390091329383,0.36856535101840177,0.08218671726322581,0.08651233396024856,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-10,0.09420603856220541,0.2017757387999202,0.36810167263449733,0.08478543470598487,0.08924782600525523,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-11,0.09400159968156668,0.20340399269963977,0.3779179742942667,0.08460143971341001,0.08905414706570462,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-12,0.0921141311869636,0.19347177998264772,0.3322673368013822,0.08290271806826724,0.08726601901818833,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-15,0.09092507170678399,0.19552985475973056,0.31027758386898024,0.08183256453610559,0.08613954161591199,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-16,0.0917206736079859,0.19389052688063127,0.3261049382767263,0.08254860624718731,0.08689326973284099,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-17,0.09029344097727099,0.19241208741113,0.3425602593888574,0.08126409687954389,0.08554115460900785,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-18,0.08948464627774921,0.1925094048894885,0.30386553810602357,0.0805361816499743,0.0847749280515654,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-19,0.08625038425348995,0.18250355567820303,0.31445485062410883,0.07762534582814096,0.08171089034437211,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-22,0.08865697842669407,0.1891358218789177,0.34243801851775924,0.07979128058402467,0.08399082166635935,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-23,0.08838651361813372,0.18623909560722324,0.3078456647428976,0.07954786225632035,0.08373459184772915,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-24,0.09089929156413103,0.19889244931573852,0.3592511728859302,0.08180936240771793,0.08611511832288311,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-25,0.0956537749168904,0.19767647143169254,0.3517002475974455,0.08608839742520136,0.09061936570970795,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-26,0.09093958901445913,0.2005330964452244,0.3499510174553924,0.08184563011301321,0.08615329485477444,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-29,0.094864713201838,0.20986427432050825,0.3535608349219216,0.0853782418816542,0.08987183355860806,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-09-30,0.09514094965973335,0.21287194745820387,0.35868148332616295,0.08562685469376002,0.09013353125556363,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
